Timestamp,Event,paragraph
2/10/2023 11:19:14,Assembly ,"We planned the event in the classroom. It was a very stressful process, but we completed the script. The theme was gold, and we decorated with gold stars and streamers. The event itself was really fun and everything went smoothly for the most part. "
,Late Knighter,"Karoke: It was very fun and well participated! People got into the songs and there was dancing and laughter. Board game room: Kind of slow, but still a good idea for the kids that didnt want to be with the crowds. Faculty vs Students Basketball game: It was a success! Most of the people that came to the Late Knighter were there for the Basketball game. We had a good energy, we played music the entire game, the halftime was super fun and people really enjoyed themselves!"
